VC,PIR,Run,Avg_IP_Throughput_flits_cycle_IP,Global_Avg_Delay_cycles,Total_Energy_J
12,0.004,5,0.0478325,44.8161,0.00093708
12,0.004,6,0.0485977,47.0961,0.00093722
12,0.004,7,0.0472856,45.7985,0.000937095
12,0.004,8,0.047931,46.5256,0.000937029
12,0.004,9,0.0472752,47.2216,0.000937073
12,0.004,10,0.0482856,47.1833,0.000937168
12,0.005,1,0.0590286,69.5076,0.000940343
12,0.005,2,0.0596589,70.4952,0.000940378
12,0.005,3,0.0595317,72.3862,0.000940634
12,0.005,4,0.0605095,70.1487,0.000940342
12,0.005,5,0.0593997,73.7696,0.000940241
12,0.005,6,0.0597205,67.6643,0.000940227
12,0.005,7,0.0585994,65.013,0.000940122
12,0.005,8,0.0595655,65.8074,0.000940145
12,0.005,9,0.0595308,65.306,0.00094007
12,0.005,10,0.0603824,71.8323,0.000940707
12,0.006,1,0.0716181,134.141,0.000943303
12,0.006,2,0.0719792,139.124,0.000943298
12,0.006,3,0.0710647,129.544,0.000943044
12,0.006,4,0.07127,137.829,0.000943036
12,0.006,5,0.0717257,134.745,0.000943511
12,0.006,6,0.0717192,127.885,0.000943206
12,0.006,7,0.0703095,109.674,0.000942961
12,0.006,8,0.0707609,127.87,0.000943364
12,0.006,9,0.0724145,150.014,0.000943127
12,0.006,10,0.0715464,124.768,0.000943332
12,0.007,1,0.0796081,297.302,0.000944693
12,0.007,2,0.0796984,390.518,0.000944931
12,0.007,3,0.0782912,454.393,0.000944746
12,0.007,4,0.0780998,337.376,0.000944648
12,0.007,5,0.0784944,316.831,0.000945058
12,0.007,6,0.0799319,353.912,0.000945128
12,0.007,7,0.0790035,340.036,0.00094485
12,0.007,8,0.0784431,396.41,0.00094486
12,0.007,9,0.0771354,454.75,0.000944741
12,0.007,10,0.0801593,397.207,0.000944991
12,0.008,1,0.0802114,793.223,0.000945165
12,0.008,2,0.0810734,742.439,0.000945409
12,0.008,3,0.0786484,765.352,0.000945096
12,0.008,4,0.0808967,728.765,0.000945125
12,0.008,5,0.0794965,784.35,0.000944994
12,0.008,6,0.0809857,772.72,0.000945309
12,0.008,7,0.0791306,726.372,0.000944789
12,0.008,8,0.0811411,760.902,0.00094554
12,0.008,9,0.0795408,742.787,0.000945334
12,0.008,10,0.0811871,769.189,0.000945384
12,0.009,1,0.0820009,1110.44,0.000945581
12,0.009,2,0.0797865,1134.31,0.000945431
12,0.009,3,0.0800707,1204.64,0.00094538
12,0.009,4,0.0826085,1088.94,0.000945759
12,0.009,5,0.0799479,1168.88,0.000945355
12,0.009,6,0.0804679,1120.88,0.000945626
12,0.009,7,0.0805265,1147.9,0.000945627
12,0.009,8,0.0808043,1125.85,0.000945481
12,0.009,9,0.0825612,1084.13,0.00094582
12,0.009,10,0.0792656,1273.23,0.000945162
12,0.01,1,0.0809861,1479.95,0.000945587
12,0.01,2,0.078237,1568.49,0.000945336
12,0.01,3,0.0811246,1490.08,0.000945439
12,0.01,4,0.0800317,1419.56,0.000945701
12,0.01,5,0.0813099,1510.71,0.000945468
12,0.01,6,0.0808168,1412.66,0.000945789
12,0.01,7,0.0828251,1373.09,0.000945736
12,0.01,8,0.0803364,1484.21,0.000945536
12,0.01,9,0.0787122,1482.61,0.000945258
12,0.01,10,0.0794848,1564.49,0.000945427
16,0.001,1,0.0118468,26.4705,0.00123341
16,0.001,2,0.0116489,27.4758,0.00123349
16,0.001,3,0.0117687,27.1958,0.0012334
16,0.001,4,0.0123247,27.2387,0.00123357
16,0.001,5,0.0125621,26.7408,0.00123366
16,0.001,6,0.0121984,27.1169,0.0012336
16,0.001,7,0.0117747,26.7176,0.00123342
16,0.001,8,0.0119028,26.7971,0.00123347
16,0.001,9,0.0119562,26.8331,0.00123338
16,0.001,10,0.0123047,26.5802,0.00123345
16,0.002,1,0.0235755,29.8837,0.00123655
16,0.002,2,0.0232001,30.6352,0.00123658
16,0.002,3,0.0241819,30.8522,0.0012366
16,0.002,4,0.023997,30.5404,0.00123676
16,0.002,5,0.024135,30.6771,0.00123677
16,0.002,6,0.0241957,31.1563,0.00123677
16,0.002,7,0.0240291,30.3267,0.00123663
16,0.002,8,0.0235855,30.3808,0.00123653
16,0.002,9,0.0240655,30.6655,0.00123679
16,0.002,10,0.0242856,31.5074,0.00123694
16,0.003,1,0.0364709,36.9211,0.00124009
16,0.003,2,0.0354253,36.5112,0.00123972
16,0.003,3,0.0353772,36.2289,0.00123959
16,0.003,4,0.0359436,36.5331,0.00123968
16,0.003,5,0.0362274,36.266,0.00123985
16,0.003,6,0.0362053,37.1638,0.00124027
16,0.003,7,0.0356849,36.877,0.00123999
16,0.003,8,0.0360599,36.295,0.00124005
16,0.003,9,0.0361124,36.1846,0.00123992
16,0.003,10,0.036589,37.0827,0.00124006
16,0.004,1,0.0469748,46.863,0.00124283
16,0.004,2,0.0487752,47.314,0.00124323
16,0.004,3,0.0481936,47.5237,0.00124312
16,0.004,4,0.0477617,46.098,0.00124309
16,0.004,5,0.0489262,49.6366,0.00124372
16,0.004,6,0.0481102,46.5792,0.00124322
16,0.004,7,0.0476202,48.2655,0.00124348
16,0.004,8,0.0473971,45.4391,0.00124295
16,0.004,9,0.0480981,46.3949,0.00124299
16,0.004,10,0.0478294,45.5046,0.00124285
16,0.005,1,0.0598798,69.8055,0.00124664
16,0.005,2,0.0601506,67.8301,0.00124649
16,0.005,3,0.0594345,64.7613,0.0012463
16,0.005,4,0.0598798,64.8532,0.00124602
16,0.005,5,0.0603203,74.5258,0.00124677
16,0.005,6,0.060724,65.7354,0.00124632
16,0.005,7,0.0592891,65.9308,0.00124598
16,0.005,8,0.0595408,66.9726,0.00124629
16,0.005,9,0.0596037,71.5621,0.0012462
16,0.005,10,0.0600026,66.7904,0.00124647
16,0.006,1,0.0707908,137.067,0.00124907
16,0.006,2,0.0709227,129.162,0.00124909
16,0.006,3,0.0715942,131.634,0.00124934
16,0.006,4,0.0715009,134.574,0.0012491
16,0.006,5,0.0707248,130.336,0.00124894
16,0.006,6,0.071592,134.687,0.00124929
16,0.006,7,0.0714201,136.787,0.00124935
16,0.006,8,0.0712526,151.076,0.00124918
16,0.006,9,0.071003,140.203,0.00124911
16,0.006,10,0.0722656,135.655,0.00124951
16,0.007,1,0.0783025,335.135,0.00125071
16,0.007,2,0.0780317,363.86,0.00125046
16,0.007,3,0.0788333,361.5,0.00125073
16,0.007,4,0.0792886,372.26,0.00125088
16,0.007,5,0.0792578,431.665,0.00125054
16,0.007,6,0.0771953,397.066,0.00125045
16,0.007,7,0.0786892,326.578,0.00125067
16,0.007,8,0.0801432,324.372,0.00125079
16,0.007,9,0.0784696,343.574,0.00125043
16,0.007,10,0.0802344,396.486,0.00125078
16,0.008,1,0.0792947,716.756,0.00125099
16,0.008,2,0.0800391,753.637,0.00125096
16,0.008,3,0.0792535,776.759,0.00125074
16,0.008,4,0.0814909,720.31,0.00125148
16,0.008,5,0.0805707,730.267,0.00125129
16,0.008,6,0.0791658,761.993,0.00125103
16,0.008,7,0.0793394,707.719,0.0012511
